version,1.3.0
info,team,Mumbai Indians
info,team,Chennai Super Kings
info,gender,male
info,season,2020/21
info,date,2020/09/19
info,competition,Indian Premier League
info,match_number,1
info,venue,Sheikh Zayed Stadium
info,city,Abu Dhabi
info,toss_winner,Chennai Super Kings
info,toss_decision,field
info,player_of_match,AT Rayudu
info,umpire,CB Gaffaney
info,umpire,VK Sharma
info,reserve_umpire,UV Gandhe
info,tv_umpire,S Ravi
info,match_referee,M Nayyar
info,winner,Chennai Super Kings
info,winner_wickets,5
ball,1,18.1,Mumbai Indians,KA Pollard,JL Pattinson,L Ngidi,0,0,caught,KA Pollard
ball,1,18.2,Mumbai Indians,RD Chahar,JL Pattinson,L Ngidi,1,0,"",""
ball,1,18.3,Mumbai Indians,JL Pattinson,RD Chahar,L Ngidi,4,0,"",""
ball,1,18.4,Mumbai Indians,JL Pattinson,RD Chahar,L Ngidi,0,0,"",""
ball,1,18.5,Mumbai Indians,JL Pattinson,RD Chahar,L Ngidi,0,0,caught,JL Pattinson
ball,1,18.6,Mumbai Indians,RD Chahar,TA Boult,L Ngidi,0,0,"",""
ball,1,19.1,Mumbai Indians,TA Boult,RD Chahar,DL Chahar,0,0,bowled,TA Boult
ball,1,19.2,Mumbai Indians,JJ Bumrah,RD Chahar,DL Chahar,1,0,"",""
ball,1,19.3,Mumbai Indians,RD Chahar,JJ Bumrah,DL Chahar,0,0,"",""
ball,1,19.4,Mumbai Indians,RD Chahar,JJ Bumrah,DL Chahar,1,0,"",""
ball,1,19.5,Mumbai Indians,JJ Bumrah,RD Chahar,DL Chahar,2,0,"",""
ball,1,19.6,Mumbai Indians,JJ Bumrah,RD Chahar,DL Chahar,2,0,"",""
ball,2,0.1,Chennai Super Kings,M Vijay,SR Watson,TA Boult,1,0,"",""
ball,2,0.2,Chennai Super Kings,SR Watson,M Vijay,TA Boult,0,0,"",""
ball,2,0.3,Chennai Super Kings,SR Watson,M Vijay,TA Boult,0,0,"",""
ball,2,0.4,Chennai Super Kings,SR Watson,M Vijay,TA Boult,0,0,"",""
ball,2,0.5,Chennai Super Kings,SR Watson,M Vijay,TA Boult,4,0,"",""
ball,2,0.6,Chennai Super Kings,SR Watson,M Vijay,TA Boult,0,0,lbw,SR Watson
ball,2,1.1,Chennai Super Kings,M Vijay,F du Plessis,JL Pattinson,0,0,"",""
ball,2,1.2,Chennai Super Kings,M Vijay,F du Plessis,JL Pattinson,0,1,"",""
ball,2,1.3,Chennai Super Kings,M Vijay,F du Plessis,JL Pattinson,0,0,"",""
ball,2,1.4,Chennai Super Kings,M Vijay,F du Plessis,JL Pattinson,0,0,"",""
ball,2,1.5,Chennai Super Kings,M Vijay,F du Plessis,JL Pattinson,0,0,"",""
ball,2,1.6,Chennai Super Kings,M Vijay,F du Plessis,JL Pattinson,0,0,"",""
ball,2,1.7,Chennai Super Kings,M Vijay,F du Plessis,JL Pattinson,0,0,lbw,M Vijay
ball,2,2.1,Chennai Super Kings,F du Plessis,AT Rayudu,TA Boult,0,0,"",""
ball,2,2.2,Chennai Super Kings,F du Plessis,AT Rayudu,TA Boult,1,0,"",""
ball,2,2.3,Chennai Super Kings,AT Rayudu,F du Plessis,TA Boult,0,0,"",""
ball,2,2.4,Chennai Super Kings,AT Rayudu,F du Plessis,TA Boult,1,0,"",""
ball,2,2.5,Chennai Super Kings,F du Plessis,AT Rayudu,TA Boult,0,0,"",""
ball,2,2.6,Chennai Super Kings,F du Plessis,AT Rayudu,TA Boult,4,0,"",""
ball,2,3.1,Chennai Super Kings,AT Rayudu,F du Plessis,JL Pattinson,4,0,"",""
ball,2,3.2,Chennai Super Kings,AT Rayudu,F du Plessis,JL Pattinson,0,0,"",""
ball,2,3.3,Chennai Super Kings,AT Rayudu,F du Plessis,JL Pattinson,0,0,"",""
ball,2,3.4,Chennai Super Kings,AT Rayudu,F du Plessis,JL Pattinson,1,0,"",""
ball,2,3.5,Chennai Super Kings,F du Plessis,AT Rayudu,JL Pattinson,0,0,"",""
ball,2,3.6,Chennai Super Kings,F du Plessis,AT Rayudu,JL Pattinson,2,0,"",""
ball,2,4.1,Chennai Super Kings,AT Rayudu,F du Plessis,TA Boult,4,0,"",""
ball,2,4.2,Chennai Super Kings,AT Rayudu,F du Plessis,TA Boult,0,0,"",""
ball,2,4.3,Chennai Super Kings,AT Rayudu,F du Plessis,TA Boult,0,0,"",""
ball,2,4.4,Chennai Super Kings,AT Rayudu,F du Plessis,TA Boult,0,0,"",""
ball,2,4.5,Chennai Super Kings,AT Rayudu,F du Plessis,TA Boult,0,0,"",""
ball,2,4.6,Chennai Super Kings,AT Rayudu,F du Plessis,TA Boult,0,0,"",""
ball,2,5.1,Chennai Super Kings,F du Plessis,AT Rayudu,JJ Bumrah,0,0,"",""
ball,2,5.2,Chennai Super Kings,F du Plessis,AT Rayudu,JJ Bumrah,0,0,"",""
ball,2,5.3,Chennai Super Kings,F du Plessis,AT Rayudu,JJ Bumrah,0,0,"",""
ball,2,5.4,Chennai Super Kings,F du Plessis,AT Rayudu,JJ Bumrah,0,0,"",""
ball,2,5.5,Chennai Super Kings,F du Plessis,AT Rayudu,JJ Bumrah,3,0,"",""
